,distance,nv
0,100.0,0.0
1,100.0,0.0
2,100.0,0.0
3,100.0,0.0
4,100.0,0.00031872754517974666
5,100.0,0.00017446283751415008
6,100.0,0.00010564932143547736
7,100.0,6.875240821347502e-05
8,100.0,4.721844093555236e-05
9,100.0,3.381551998320171e-05
10,100.0,5.008215220747156e-05
11,100.0,3.811560698833698e-05
12,100.0,2.967703627582579e-05
13,100.0,2.3556472236172024e-05
14,100.0,1.9009641350712884e-05
15,100.0,1.556157490765582e-05
16,100.0,1.2899446399038244e-05
17,100.0,1.0811500267649111e-05
18,100.0,9.150916521281392e-06
19,100.0,7.813717390118787e-06
20,100.0,6.7248636828714766e-06
21,100.0,5.829277840700586e-06
22,100.0,5.08591356814619e-06
23,100.0,4.463756496513305e-06
24,100.0,3.939076340337814e-06
25,100.0,3.4935066535910236e-06
26,100.0,3.1126820030424007e-06
27,100.0,2.7852569323939244e-06
28,100.0,2.50219048327014e-06
29,100.0,2.256218064516429e-06
30,100.0,2.0414572384884292e-06
31,100.0,1.8531104020612332e-06
32,100.0,1.6872383718445476e-06
33,100.0,1.5405864040379603e-06
34,100.0,1.4104493739453736e-06
35,100.0,1.2945664718276491e-06
36,100.0,1.1910383397870422e-06
37,100.0,1.0982614097377647e-06
38,100.0,1.0148755274640278e-06
39,100.0,9.397219133169506e-07
40,100.0,8.718092200357652e-07
41,100.0,8.102859745779353e-07
42,100.0,7.544180842757996e-07
43,100.0,7.035703839186727e-07
44,100.0,6.571914250832529e-07
45,100.0,6.148008806487801e-07
46,100.0,5.759790693406154e-07
47,100.0,5.403582071617295e-07
48,100.0,5.07615071935749e-07
49,100.0,4.77464829275686e-07
